,accuracy
357,0.05
358,0.05
359,0.07333333333333333
360,0.08333333333333333
361,0.08
362,0.1
363,0.06
364,0.056666666666666664
365,0.07666666666666666
366,0.04666666666666667
367,0.08333333333333333
368,0.1
369,0.07666666666666666
370,0.08333333333333333
371,0.09666666666666666
372,0.07
373,0.07666666666666666
374,0.08
375,0.056666666666666664
376,0.08
377,0.04
378,0.06
379,0.08666666666666667
380,0.08333333333333333
381,0.09333333333333334
382,0.10333333333333333
383,0.056666666666666664
384,0.07333333333333333
385,0.07
386,0.08666666666666667
387,0.07
388,0.08333333333333333
389,0.06
390,0.08666666666666667
391,0.07666666666666666
392,0.07666666666666666
393,0.06666666666666667
394,0.07666666666666666
395,0.07
396,0.07666666666666666
397,0.08333333333333333
398,0.07666666666666666
399,0.07666666666666666
400,0.07333333333333333
401,0.06666666666666667
402,0.07666666666666666
403,0.08
404,0.06666666666666667
405,0.07
406,0.07333333333333333
407,0.08333333333333333
408,0.10333333333333333
409,0.07
410,0.06666666666666667
411,0.03666666666666667
412,0.056666666666666664
413,0.07666666666666666
414,0.09333333333333334
415,0.09666666666666666
416,0.09333333333333334
417,0.07333333333333333
418,0.09
419,0.07
420,0.11333333333333333
421,0.07666666666666666
422,0.08
423,0.09333333333333334
424,0.09666666666666666
425,0.07
426,0.06
427,0.07666666666666666
428,0.07
429,0.09
430,0.07333333333333333
431,0.09
432,0.07666666666666666
433,0.08666666666666667
434,0.06
435,0.06666666666666667
436,0.056666666666666664
437,0.08666666666666667
438,0.08333333333333333
439,0.06666666666666667
440,0.08
441,0.10666666666666667
442,0.1
443,0.07666666666666666
444,0.07666666666666666
445,0.08
446,0.07333333333333333
447,0.06666666666666667
448,0.07333333333333333
449,0.06333333333333334
450,0.08666666666666667
451,0.07
452,0.08666666666666667
453,0.1
454,0.09666666666666666
455,0.08333333333333333
456,0.07
457,0.08333333333333333
458,0.056666666666666664
459,0.08
460,0.08666666666666667
461,0.08333333333333333
462,0.08
463,0.08
464,0.1
465,0.08666666666666667
466,0.09333333333333334
467,0.07666666666666666
468,0.08333333333333333
469,0.06
470,0.07
471,0.07333333333333333
472,0.11
473,0.07
474,0.07333333333333333
475,0.07666666666666666
476,0.08333333333333333
477,0.09
478,0.08666666666666667
479,0.1
480,0.09333333333333334
481,0.08
482,0.10666666666666667
483,0.08
484,0.09
485,0.07
486,0.08
487,0.07
488,0.06666666666666667
489,0.08333333333333333
490,0.09333333333333334
491,0.06
492,0.08
493,0.06666666666666667
494,0.09
495,0.08333333333333333
496,0.09666666666666666
497,0.09666666666666666
498,0.07666666666666666
499,0.07333333333333333
500,0.06
501,0.056666666666666664
502,0.06666666666666667
503,0.08
504,0.08666666666666667
505,0.09
506,0.08666666666666667
507,0.08666666666666667
508,0.09
509,0.07
510,0.08666666666666667
511,0.08666666666666667
512,0.08333333333333333
513,0.043333333333333335
514,0.07333333333333333
515,0.07333333333333333
516,0.056666666666666664
517,0.08333333333333333
518,0.1
519,0.1
520,0.10666666666666667
521,0.09666666666666666
522,0.09333333333333334
523,0.08666666666666667
524,0.06333333333333334
525,0.08333333333333333
526,0.09666666666666666
527,0.09666666666666666
528,0.05333333333333334
529,0.09333333333333334
530,0.07
531,0.08
532,0.09
533,0.07333333333333333
534,0.08333333333333333
535,0.07333333333333333
536,0.07666666666666666
537,0.07333333333333333
538,0.08
539,0.09666666666666666
540,0.09
541,0.09
542,0.09
543,0.11333333333333333
544,0.12
545,0.07333333333333333
546,0.1
547,0.07
548,0.06
549,0.08
550,0.04
551,0.04666666666666667
552,0.08
553,0.06666666666666667
554,0.09333333333333334
555,0.09333333333333334
556,0.09666666666666666
557,0.08
558,0.06333333333333334
559,0.10333333333333333
560,0.09333333333333334
561,0.09333333333333334
562,0.08333333333333333
563,0.08
564,0.08
565,0.08333333333333333
566,0.06666666666666667
567,0.08666666666666667
568,0.10666666666666667
569,0.09
570,0.08666666666666667
571,0.09666666666666666
572,0.08
573,0.09
574,0.09
575,0.09333333333333334
576,0.10666666666666667
577,0.10666666666666667
578,0.08
579,0.09333333333333334
580,0.08
581,0.08
582,0.08333333333333333
583,0.06666666666666667
584,0.08333333333333333
585,0.1
586,0.10666666666666667
587,0.06666666666666667
588,0.07666666666666666
589,0.07
590,0.08666666666666667
591,0.08
592,0.08
593,0.07666666666666666
594,0.07666666666666666
595,0.1
596,0.12666666666666668
597,0.09
598,0.07666666666666666
599,0.06333333333333334
600,0.056666666666666664
601,0.07
602,0.10666666666666667
603,0.11333333333333333
604,0.08666666666666667
605,0.07
606,0.06666666666666667
607,0.07666666666666666
608,0.06666666666666667
609,0.08
